id,job_title,description,salary,requirements,benefits,location,business_name
1052,K-12 ESL Teacher in Guangdong Province,"ã€What we offerã€‘-
* WORK VISA for Native and non Native teacher-
* 12~25K after tax (depends on qualifications)-
* All paid Chinese public holidays-
* Provide accommodation OR 2500 RMB housing allowance-
* 4500 RMB Contract Completion Bonus-
* One year Commercial Accidental Insurance-
* Free airport pick up and hotel provided for overseas hiring",25k after tax,"","",China > Guangzhou,Guangzhou E-Link ESL Center
1000,Teach English in Hong Kong,"Monkey Tree ELC currently have teaching opportunities in Hong Kong. Discover the true beauty of this cosmopolitan city whilst taking in its iconic skyline from The Peak, and exploring the city’s local street markets.-
-
Monkey Tree ELC is the leading English language center in Hong Kong and is looking for passionate and enthusiastic teachers to join the team. By incorporating play-based education into their tailor-made curriculum, their teaching philosophy is one of lots of fun, energy and positive reinforcement. You will be teaching children aged between 2.5 -12 years old, as well as a variety of classes ranging from beginner phonics through to spelling and grammar.-
-
Come and join our growing team in this stimulating and rewarding career.-
-
Salary and benefits:-
• Salary: HK$ 20,527.50 – 21,131.25 per month-
• Rewarding bonus of HK$5000 upon completion of 12-month contract.-
• Comprehensive 8-day training and orientation bonus of HK$ 6000 received.-
• Small class sizes (4-12 children per class)-
• Fully sponsored visa-
• Fully prepared and tailored curriculum provided-
• Optional and affordable staff accommodation-
• Orientation information and assistance prior to arrival-
• Social network connections prior and post arrival-
• Possible opportunities for career advancement in numerous fields within the organization-
-
Requirements:-
• Bachelor degree (in any discipline)-
• TEFL level 5 certificate-
• Native English Speaker (non-negotiable)-
-
Role and Responsibilities:-
• Teach a range of English classes such as phonics, reading comprehension, creative writing, and grammar.-
• Prepare and implement lessons, crafts, and activities-
• Administrative duties-
-
If you have not received a response after 5 – 7 working days consider your application unsuccessful.","HK$ 20,527.50 â€“ 21,131.25 per month","","",Hong Kong > Hong Kong,Global Teacher Recruitment
1001,Teach in British Cambridge International School,"Position No 1 : Cambridge English Assessment Teacher-
Position No 2 : Centre Manager for Cambridge English Assessment Training School-
-
Work hours include 35 hours a week which 25 are designated towards teaching and 9 towards office hours.-
Accommodation: The School can provide standard furnished accommodation in the city of service in the city free of charge to the Employee or accommodation allowance of 2,000 RMB.-
Insurance: Candidate is entitled to full insurance that covers them in medical fees and accidental costs too.-
Rules of conduct: The relationship between the School and the Employee is based on mutual trust, loyalty and confidence. The Employee undertakes to promote the interests of the School in every way and comply with the rules and regulations governing service with the School.-
Bonuses: The bonus for signing a contract of two years or more will be paid on a monthly basis. The bonus is based on the student's performance, progress, working attitude, attendance rate and enrolment of new students. If the employee completes the work according to the above bonus system, Bonus of 8% - 10% of the basic salary can be obtained every month.-
Holidays: The Employee is entitled to all paid public holidays in China and a one-day paid leave on Christmas day. In addition, they are entitled to a paid leave of 5 days’ vacation during the third month of the year and the ninth starting from the second year of the contract period.-
Visa: The School will cover the expenses relating to the working Z visa.-
-
Requirements : Only British Citizen",2000-3000 GBP,"","",China > Xi'an,British Cambridge International School
1002,Kindergarten Teaching Position at SABIS,"Job Purpose:-
Enabling the success of students and helping in academic achievement to reach their potential through the implementation of the SABIS curriculum and philosophy and through the consistent use of the SABIS teaching methodology.-
-
Key Responsibilities:-
Teaching using the provided lesson plans (may also be asked to develop such plans based on provided pacing charts as relevant and needed) for their subject(s) in order to be able to teach using the SABIS point system.-
Marking of exams related to their subject matter in accordance with the schedule and material provided by the department.-
Discussing disciplinary and student performance issues with the Academic Quality Controller (AQC) and head of department (HOD) as needed.-
Implementing the SABIS point system to ensure an environment conducive to learning in the classroom.-
Providing support by invigilating exams as needed in an adequate and properly managed exam environment.-
Providing support for the academically low performing students, to help improve and get motivated to reach their potential.-
Develop and/or follow external exams preparation by going through past papers as planned in the structured revision schedule ( When applicable to specific grade).-
Aiding in duties that may include testing children, substituting for absent teachers , organizing children for lunches and buses, controlling traffic (vehicles and people), and other administrative duties that may be assigned to him/her by the school SABIS management.-
Preparing and participating in activity plans for all such student life related events such as but not limited to art, open house and physical education in coordination with the student life coordinator.-
Attending training sessions when needed and as per the request of school management in order to enhance their understanding of the SABIS system improving their performance-
Performing such other related tasks or projects as they arise and as delegated by the school SABIS management.-
-
Ideal Requirements:-
Bachelor degree in a related subject matter and/or equivalent-
English Proficient / Native English Speaker (depending on subject)-
MS Office needed components-
Communication Skills-
Ability to work within a team-
Employment Requirements:-
Must meet all employment requirements including, but not limited to, country and local education and certification requirements, reference checks, and criminal background checks.-
-
Additional details about this position will only be provided to short-listed candidates.-
-
SABIS is an equal opportunity employer. We are dedicated to a policy of non – discrimination in employment on any basis including age, sex, color, race, creed, national origin, religion, marital status, disability or any other legally protected characteristics.",2200 - 2600 USD per month,"","",Azerbaijan > Baku,SABIS SUN International School
1003,International School Teacher,"St. Alban's International School is a young, dynamic boarding school situated in the coastal city of Lianyungang at the start of the Eurasian Land Bridge.-
Our school is the city’s leading educational institute for STEM education and English Language learning. Our school has the only STEM Science Centre in the north of the Province, and we use Cambridge English, the world’s leading English language material, to ensure the highest standards are met.-
-
Our student body consists of K12 students, and our faculty have been selected from the best schools in the city We are looking for teachers to join us in our fast-growing school. We currently need English Teachers, Primary and Middle school teachers.-
-
In addition to teaching, there are opportunities to share your ideas and help develop our school in other areas of special interest.-
-
Due to government requirements and the SAFEA’s working visa issuing legislation, to apply for these positions, you must:-
•-
Be a native English speaker from Canada, US, UK, Ireland, Australia or New Zealand-
• Hold a Bachelor’s Degree or above-
• Have two years teaching experience, prefer-
• A non-criminal record disclosure-
• Have a TEFL level 5 certificate-
-
We can offer you:-
A 12 Month employment contract-
20,000RMB monthly salary (Negotiable depending on experience)-
Flight allowance-
6 weeks (approx.) of vacation-
Medical Insurance-
E Bike-
Free accommodation-
Three free meals per day (on site)","20,000RMB","","",China > Lianyungang,St. Alban's International School
1005,Education/ Sales Manager,"Genius Premium Tuition (Pty) Ltd. was founded in 1993. We are a Premium, Private Tuition and Education Management Firm, operating in the Johannesburg and Pretoria area in Gauteng.-
-
Do you love to learn? Not sure what you're doing this year? If you demonstrate drive and resilience, have an urge to learn and espouse values such as ambition and commitment, Genius Premium Tuition has a position for you in South Africa's pre-eminent Educational Management Team.-
Genius Premium Tuition (Pty) Ltd. was founded in 1993. We are a Premium, Private Tuition and Education Management Firm, operating in the Johannesburg and Pretoria area in Gauteng.-
-
Duties & Responsibilities-
-
•Conducting High level meetings with Clients-
•Designing Educational Programmes for Students-
•Sales presentations-
•Networking & Relationship Building with our Partners in the Education Industry-
•Leading and Managing Assembled Teams of Instructors-
•Administering Genius Educational Assessments-
-
Desired Experience & Qualifications-
-
You do not need previous experience in sales or education – we train you. However, to qualify for our training process you need to have:-
•Privately owned vehicle and driver's license.-
•Excelled academically in High School.-
Please note that we only operate in the Johannesburg area.-
-
Package & Remuneration-
-
After your training programme is completed, you earn on a commission basis: R20K-R50K/ month. Note that the training stipend is R6k per month, training expectation is 2 to 3 months.",20000,"","",South Africa > Johannesburg,Genius Premium Tuition
1006,"English teaching positions in Tianjin,China","ATTENTION ENGLISH TEACHERS!!-
-
We wanted to let you know about a great job opportunity offered by International Education - Tianjin Yuming. Our company is located in Tianjin which is next to the capital of China, Beijing.-
-
We are looking for high-energy candidates with a positive attitude to teach in Kindergartens, primary schools, middle schools and training centres in the Tianjin City area. Applicants should be passionate about teaching and also open to experiencing new and exciting culture in a world-class city.-
-
We have been operating in the ESL Sector for 20 years now, working with both new & experienced teachers. We are fully experienced with providing quality help to our foreign staff who are not able to speak Chinese. Come join us and make tomorrow a better day for everyone!-
-
Please feel free to reach out to us with any questions about this job opportunity.-
-
Wage range: 10,000-22,000 RMB per month (After Tax)-
-
Requirements:-
1. Bachelor degree or above (education and/or English related major preferred)-
2. Native speakers are preferred-
3. Meet the working visa requirements-
4. Willingness to live abroad for at least one year-
5. Willingness to work on teaching skills-
6. Positive attitude towards Chinese students and teachers-
7. Good communication skills-
-
Benefits we offer:-
1. Z Visa (step-by-step assistance and necessary paperwork)-
2. Airfare subsidy after completion of the contract-
3. Housing subsidies-
4. Paid holidays and Chinese national holidays-
5. Travel bonus-
6. Contract renewal bonus-
7. Monthly perfect attendance reward-
8. Clothing allowance on arrival-
9. Free hotel for first 1 -2 nights in Tianjin-
10. Airport pickup on arrival, full assistance with relocation-
11. Teacher training before you start working.-
12. Teaching materials-
13. Accidental health insurance-
14. Professional growth-
-
Documents we need from you:-
1. Resume-
2. Self-introduction video-
3. Copy of your passport information page-
4. Copy of university degree-
5. Recent photo",15000RMB+,"","",China > Tianjin,Int'l Educational Center
1007,Teach at Korean public school-EPIK 2021 spring intake,"Below is job information for the Korean public school (EPIK).-
-
Public school job info-
School Type: Korean Public schools (elementary, middle, high school)-
Location: Spanning across all of South Korea-
Starting Date: End of Feb. 2021-
Teaching age group: Elementary, middle and high school students.-
Working Hours: 9:00AM ~ 5:00PM-
Salary: 2.0 ~2.7 million won per month depending on qualification and teaching experience-
Vacation: about 18 days & national holiday (approximately 11~15 days per year)-
Duties:-
• To assist Korean teachers with their English classes, and/or jointly conduct English classes with Korean teachers, and/or extracurricular activities or English camps.-
• To assist with activities related to English language education and other extracurricular activities.-
• To conduct English conversation classes for Korean students and teachers.-
Benefits: Fully furnished Single housing, Severance payment, National Pension, Health insurance, air ticket, EPIK orientation, Settlement allowance 300,000 KRW, Renewal bonus 2,000,000 KRW",2700000Korean won/mon.,"","",South Korea > Seoul,ESL Consulting-SeoulESL
1008,EFL Teacher and teacher leader,"We are offering two positions for the upcoming course, an EFL native teacher and a teacher leader with an outgoing personality. Applicants should be English native or bilingual speakers, qualified, experienced and passionate about teaching and also possess excellent spoken and written communication skills. We offer a nine month renewable contract of up to 10 hours weekly, from October 2020 to June 2021, with a timetable from Monday to Friday evenings and Thursday mornings. Group ages and levels will be assigned according to the applicant´s profile. Teachers should be available from Monday 28th September for the induction period.-
We offer:-
Excellent and stable working conditions;-
Above average salary, with social security;-
Groups of 10/12 students maximum and 4 minimum, strictly classified according to age and level.-
Courses taught: General English, most of them aiming at Cambridge Examinations.-
Classroom materials and resource library for teachers;-
Teacher support in lesson planning and classroom management;-
Objectives clearly set at the beginning of each term.-
Interactive boards and Wifi in all the classrooms;-
Large air-conditioned classrooms with natural light;-
Coffee corner-
-
Typical tasks that should be carried out include:-
Preparing creative lesson plans;-
presenting lesson planning in the weekly teacher´s meeting;-
deliver high quality general English lessons using varied communicative language teaching methods;-
apply classroom management skills;-
preparing and setting examination papers;-
marking and providing appropriate feedback on written exams;-
preparing students for Cambridge English Examinations;-
working in strong collaboration with the teacher leader;-
creating good rapport with students, peers and superiors;-
-
Teachers will be supervised by the teacher leader and the directors of the school who act as classroom supporters, resource providers, instructional specialists and mentors. New teachers will be offered guidance about teaching strategies, curriculum, procedure and practices so as to deliver lessons according to the school method and standard.",1200-1600,"","",Spain > Valencia,The Kent Institute
1009,Native English Teachers required For Saudi Arabia.,"Requirements-
-
• Native English Teachers from Canada, USA, UK, Australia, Ireland, Scotland, New Zealand or South Africa.-
-
• Age: 25-55 years-
-
• BA or MA in English Language/Literature, Applied Linguistics or Education is essential-
-
• TEFL level 5 certificate-
-
• Minimum 2 years of experience-
-
•Benefits: Salary starting from 11,250 SAR to 13,125 ($3000 —$3500 USD) depending on experience,-
-
•Health insurance, Accommodation and transportation to school Sick Leave:-
-
•up to 30 days paid, Annual Leave: All Official School and National holidays plus 5 days Emergency leave-
-
• Annual Air Ticket: For employee only-
-
• Renewal Bonus: If contract is renewed for 2 years-
-
• Location of Schools: Riyadh, Jeddah and Dammam — Saudi Arabia","from 11,250 SAR to 13,125 ($3000 â€”$3500 USD)","","",Saudi Arabia > Riyadh,English Today Recruitment.com
1010,English Teaching Positions in Warsaw,"An excellent opportunity for students, graduates and experienced teachers to embark on an ESL adventure in Poland's capital, Warsaw. Impact Teaching is here to help connect you with schools and language institutions across Poland, where you'll teaching English to learners of varying levels.-
Your duties will include:-
-
-  Teaching for 20-25 hours per week (depending on location and contract)-
-
-  Working between 14:00 – 20:00 on weekdays and some Saturday mornings-
-
-  Assisting with English language related activities-
-
-  Teaching students of various ages and levels-
-
-  Teaching 4-10 students at a time-
-
As a teacher at a private school in Gdansk, you’ll benefit from:-
-
-  A monthly salary of up to 1000 – 1200 EUR (depending on location and experience)-
-
-  11 paid public holiday days per year-
-
-  Help finding a suitable apartment and negotiating a deal to suit your budget-
-
-  City and school orientation-
-
-  Local SIM card-
-
-  Contracts between 5 – 12 months (the longer you stay, the higher the salary is likely to be)-
-
-  Visa application assistance (for non-UK/EU nationals)-
-
-  Resume and interview guidance to ensure your application is in line with local school expectations-
-
-  Access to a wide community of English teachers in Poland and beyond-
-
-  Post-arrival support and guidance-
-
Please note, as an agency providing relocation support, we charge a fee for our service packages. This is not a job placement fee, rather it ensures that we can offer comprehensive pre-departure and post-arrival support to all applicants.",1200,"","",Poland > Warsaw,Impact Teaching
1012,Wanted: English Teacher in Taiwan (2 cities available),"This English teaching job will have you teaching for one of the biggest British-owned TEFL companies in Asia and in Taiwan. The school provides all the books, CDs, educational toys and teaching resources needed to teach the curriculum. You are welcome to bring any music, games, and other materials to adjust classes to suit your style.-
-
This job is available in Taichung and Tainan.-
-
Job Requirements-
-
- You have a passport from the United States, United Kingdom, South Africa, Australia, New Zealand, Canada or Ireland.-
- Associate or Bachelor degree.-
- A level 5 TEFL certificate.-
- You enjoy working with young learners!-
-
Salary and Benefits-
-
- 600-640 TWD (20.45-21.80 USD) starting hourly rate.-
- 15,000 TWD (510 USD) end of contract bonus.-
- 20 teaching hours per week guaranteed.-
- National health insurance provided.-
- Structured curriculum and courses.-
- Western academic management, orientation and welfare support.-
- Career development opportunities in Taiwan.",Up to 640 TWD/hour,"","",Taiwan > Taichung,Saxoncourt
1013,Online British English Teachers Recruitment,"Online English Teaching job Long-term Recruitment-
-
Responsibilities and work specification:-
1. Teaching students on time and provide teaching plan.-
2. Each class about 25-30minutes-
3. Creating exciting and engaging lessons to motivate students and help them to learn effectively.-
4. We could provide the teaching materials.-
5. It is very flexible, we according to your time (you provide the timetable)-
6. Assess student pronunciation and grammar-
-
Qualification:-
1.Love kids, positive, humor, sociable, patient, hard-working, outgoing, professionalï¼ŒResponsible passionate.-
2.With level 5 TEFL certificate-
3. Native English speakers or fluent non-native speakers with no distinguishable accent.-
5. Formal teaching qualifications are desirable, but not necessarily required-
6. Pre-Existing Chinese language skill is desirable, but not necessarily required-
7. No record of criminal activities-
8. Bachelor's degree or high school graduation or relevant educational certificate, negotiable based on individual qualifications and performances",negotiable based on individual qualifications and,"","",United Kingdom > åŒ—äº¬,"Beijing Yushun International Cultural Exchange Co.,Ltd"
1014,Online English Teacher,"Our door always opens for anyone who is looking for stepping in.-
-
JOB DESCRIPTION:-
-
• Organizing teaching materials in advance.-
• Planning, preparing, and delivering lessons.-
• Teaching across our range of levels, ages, and courses-
• Helping students improve their listening, speaking, reading, and writing skills through 1-on-1 sessions as well as group sessions.-
• Writing student reports-
-
TEACHING HOURS:-
Teachers will have a flexible teaching schedule and teaching up to 18 hours a week. You can cover classes if needed.-
-
RECRUITMENTS:-
• Good English accent-
• Have at least one-year experience-
• TEFL level 5 certificate-
• Diploma/ Bachelor Degree or higher-
APPLICATION DOCUMENTS: must be in English and include the following:-
• A cover letter with a recent passport-size photo-
• An updated resume-
• A copy of passport-
• Copies of degrees & teaching certificates-
• 2 self-introduction videos (a funny one for kids and teens and an academic one for adults/high grade students)-
If you are interested please send your CV and relevant documents (Passport, Visa, Certificates,..)",5.3 USD per hour,"","",Vietnam > Hue city,AMES ENGLISH
1015,Wanted: English Teacher in Taiwan (3 cities available),"This English teaching job will have you teaching for one of the biggest British-owned TEFL companies in Asia and in Taiwan. The school provides all the books, CDs, educational toys and teaching resources needed to teach the curriculum. You are welcome to bring any music, games, and other materials to adjust classes to suit your style.-
-
This job is available in Taichung, Tainan and Taoyuan.-
-
JOB REQUIREMENTS-
You are a native English speaker.-
Associate or Bachelor degree.-
A level 5 TEFL certificate.-
You enjoy working with young learners!-
-
SALARY AND BENEFITS-
600-640 TWD (20.35-21.70 USD) starting hourly rate.-
15,000 TWD (510 USD) end of contract bonus.-
20 teaching hours per week guaranteed.-
National health insurance provided.-
Structured curriculum and courses.-
Western academic management, orientation and welfare support.-
Career development opportunities in Taiwan.",640 TWD/hour,"","","Taiwan > Taichung, Tainan, Taoyuan",Saxoncourt Taiwan Ltd.
1016,Looking for 2 ESL teachers. Open to ALL nationalities. Working in Me Kong Delta Region of Vietnam - Tra Vinh city.,"We are looking for 2 ESL teachers who can start immediately. Following are the requirements for teachers:-
- Nationality: Open to all, as long as teachers speak English as Idiomatic level with clear and neutral accent-
- Education background: Have BA in English/Education (for work permit application purpose)-
- In Vietnam now, be able to start immediately-
-
Position details-
- Students: 3 - 15 years old-
- Class size: 15 - 20 students/class-
- Work hours: 100 hrs/month-
- Teaching assistants in each class-
- Course books provided-
-
Salary and benefits-
- Monthly salary: 1000 USD/month-
- Apartment provided-
- Health insurance provided-
- Friendly and supportive team members-
- Low cost of living-
-
About work location - Tra Vinh city-
Although Tra Vinh has plenty of charm, its name is mostly invisible in most of the travel plans. The town is a harmonious combination of the old and the new on a manageable scale. Located in Mekong Delta, bordering Soc Trang, Vinh Long and Ben Tre, Tra Vinh is popularly known as the land of Buddhism with more than 150 pagodas and a number of religious sites. Hence, the trip to Tra Vinh brings you close to the magnificence of colonial architecture mixed in with Vietnamese and Chinese pagodas as well as the older Khmer temples.-
-
How to apply?-
- Required document: A Resume, A copy of BA degree",1000 USD/month,"","",Vietnam > Vietnam,Step by Step
1017,International school in Kuala Lumpur is hiring English teachers for primary and secondary school.,"An introduction about the school-
Our client is a group of private and international schools in Kuala Lumpur & Selangor, comprising of two schools, spread over two campuses - one in Damansara Heights, and one in Cheras. Students range in age from four (Reception) to eighteen (A-Levels)-
-
Who are we looking for:-
2 English teacher: 1 for Primary school (year 4 and 5) and 1 for Secondary school (freshman and sophomore)-
-
Following are the requirements:-
- Hold BA degree in Education-
- Have at least 1 year teaching experience at relevant position-
- From English speaking countries, speak clear and neutral accent-
- Patient, passionate, willing to learn and adapt-
- In Malaysia now and be able to start in late August.-
-
Job details:-
- Class size: 15 - 20 students/class-
- Teacher assistant in each class-
- Modern classroom with screen and computer equipped-
- Work schedule: Monday - Friday, 1 day off on Saturday and Sunday-
- A typical day starts at 7:45 and finishes at 3:45-
- No more than 24 classes/week-
- Curriculum: IGCSE-
-
Benefits-
- Be a part of a big team of local and international teachers-
- Experience multicultural working environment-
- Smart, respectful students-
- Modern campus and facilities-
- Competitive salary package-
- Housing allowance provided-
- Health insurance provided-
- Daily nutritious meals at campus-
- Legal work permit provided-
-
If you are interested in the offer, don’t hesitate to send over your application, which is inclusive of:-
- A resume-
- A copy of BA degree-
- Reference letter (if you have)",competitive,"","",Malaysia > Malaysia,Step by Step
1018,English Teacher,"Mammoth English Education: Job offer –-
Fantastic salary: 20,000 – 26,000 RMB per month (based on qualifications and teaching ability) –-
1-way flight reimbursement to Shanghai - 2 weeks hotel accommodation upon arrival - Legal Z work visa provided - Visa document reimbursement –-
Contract completion bonus of up 5000RMB –-
All national holidays fully paid - 5 days paid personal leave annually plus unpaid personal leave available-
Requirements - Bachelor’s Degree - Native English Speaker only - Enjoy working with children - Open to new experiences - TEFL level 5 certification- *To meet China’s visa regulations applicants must be citizens from the US, the UK, Canada, Ireland, Australia, New Zealand, or South Africa.-
-
Benefits:-
-  Great salary-
-  Training throughout your time with us-
-  Travel: 1-way flight reimbursement to Shanghai-
Requirements:-
-  Native citizens from the US, the UK, Canada, Ireland, Australia, New Zealand, or South Africa.-
-  Bachelor’s Degree-
. Clean criminal record",20000-26000RMB,"","",China > Shanghai,Mammoth  English Education
1019,"Primary ESL positions in Nanjing,China","International school Job Description:-
l Location: Nanjing city, Jiangsu province, China.-
l Contract Term: Two years contract, starts from Sept. 2020.-
l Job Position:  Multi-subject Teacher for primary and Biology Teacher for high school..-
l Students Age: 6-12/15-18 years old.-
l Work Days: work on Mondays to Fridays. Two days off on weekends.-
l Work Hours: 8 a.m. to 12 p.m., 2 p.m. to 5 p.m. 18 teaching periods per week.-
Remuneration and Benefits:-
l Salary: RMB30,000 to RMB40,000 monthly according to the candidates'qualifications, teaching experience and subjects teaching.-
l Accommodation: free of charge independent apartment provided.-
l Meals: free of charge working meals.-
l Holidays: full paid 11 days Chinese public holidays.-
l Vacation: one month winter vacation.-
l Insurance: international standard insurance will be provided.-
l Work Visa: offer working permit.-
l Bonus Rewards: one month salary upon contract completion, if contract is renewed, one more month salary will be provided.-
l Others: relocation allowance is provided.","RMB30,000 to RMB,40,000","","",China > Nanjing,Wuhan Bridge company
1020,Welcome you to be oral English teachers in China while enjoying China rich history and culture,"Now we provide great English teaching opportunities for teachers who want to come to China to travel and savor China time-honored culture.-
-
Firstly:Introduction about us:-
1.We are Beijing Wanlin Culture Exchange Center which is the Human Resource for all of Chinese schools.We focus on improving Chinese students’ oral English. As regard to the current major problem which still exists in Chinese education system-Dumb English,we decide to do something significant.-
-
2. Our schools spread out all over China-North and South, which cover three types: public, private and training with different levels: kindergarten, primary, middle and high schools, University. During teachers’ teaching period in China, we will provide constant support ,no matter visa, work or life to make sure they have a meaningful and unforgettable memory in their once in a life time journey in China.-
-
QUALIFICATION :-
1. No younger than 18-
2. Native English speaker or near-
3. Formal teaching qualification: Level 5 TEFL certificate-
4. Pre-existing Chinese language skill is desirable,but not necessarily required-
5. A spirit of adventure and a sense of humor!-
-
TYPICAL TREATMENT:-
1.Free apartment.-
2.Salary depends on teachers' documents and teaching skill.-
3.Visa assistance-
4.Flight ticket allowance after one year contract-
5.If you are qualified for work visa, we also could help you issue it.-
-
We sincerely hope under our systematic and constant guidance, teachers and us will cooperate reciprocally to achieve Chinese students’ oral English a new level.-
If you think you will be valuable asset for us, welcome to join in. please e-mail your resume, 3-4 recent daily photos and passport copy and qualification certificates copies to apply for this excellent teaching position.",depending on your qualification,"","",China > both south and north cities of China,Beijing Wanlin
1021,English Teaching Vacancy in Gdansk,"Your duties will include:-
-
-  Teaching for 20-25 hours per week (depending on location and contract)-
-
-  Working between 14:00 – 20:00 on weekdays and some Saturday mornings-
-
-  Assisting with English language related activities-
-
-  Teaching students of various ages and levels-
-
-  Teaching 4-10 students at a time-
-
As a teacher at a private school in Gdansk, you’ll benefit from:-
-
-  A monthly salary of up to 1000 – 1200 EUR (depending on location and experience)-
-
-  11 paid public holiday days per year-
-
-  Help finding a suitable apartment and negotiating a deal to suit your budget-
-
-  City and school orientation-
-
-  Local SIM card-
-
-  Contracts between 5 – 12 months (the longer you stay, the higher the salary is likely to be)-
-
-  Visa application assistance (for non-UK/EU nationals)-
-
-  Resume and interview guidance to ensure your application is in line with local school expectations-
-
-  Access to a wide community of English teachers in Poland and beyond-
-
-  Post-arrival support and guidance",1200,"","",Poland > Gdansk,Impact Teaching
1022,"IELTS Teacher in Hanoi, Vietnam","Job details:-
• Contracts are for one academic year-
• Teachers will conduct three 45-minute lessons per week, per class, plus additional online writing classes-
• Students are aged 15-17-
• Class sizes are 20-25 students-
Benefits include:-
• NET 25-27 USD/hour depending on experience-
• Invitation letter for Visa on Arrival-
• Work permit organised-
• Help obtaining work visa (applicant pays – about US$135)-
• Help setting up bank account-
• Help finding accommodation-
Applicants must:-
• Be native-level English speakers-
• Have a Bachelor’s Degree-
• Have a CELTA-
• Possess at least one year’s experience teaching IELTS abroad-
• Have clean police check from their home country",up to US$27 per hour,"","",Vietnam > Hanoi,Washington English Center
1023,Long term part-time positions require 2 English teachers in Suzhou,"Location one:Gusu district(near Subway line 3)-
Location two:Wujiang district(near Subway line 4)-
-
Subject:Pure English Teaching-
-
Contract length:2020.9.1-2021.6.30-
-
Work period:From Monday to Friday,working hours from 2pm to 5pm-
(1)from 2pm to 4pm,regular small class (each lesson lasts 10-20 minutes)-
(2)from 4pm to 5pm,one hour English Club-
-
Salary:10k-12k per month(national holiday paid,not including winter holiday)-
-
Only 2 positions left.","10k-12k per month(national holiday paid,not includ","","",China > Suzhou,Suzhou Unique Human & Resource Service Co. Ltd.
1061,"Teachers are required in Prestigious International School based in Ajman, UAE","Teachers are required in Prestigious International School based in Ajman, UAE-
International Prestigious school is looking for teachers for following positions.-
-
Requirements :-
-  Candidates should have a major degree and experience in teaching-
-  We desire our candidates to be Native English / near native English speakers.-
Note : Candidates should be based in UAE.-
-
Benefits:-
-  Housing allowance-
-  Medical insurance-
-  Round ticket to employee’s home country.-
Salaries and benefits can vary according to previous work experiences and the candidate position.-
-
How to apply : Send your CV, degree and credentials",8000 - 180000 AED,"","",United Arab Emirates > Dubai,English Today Recruitment
1024,Native/Non-Native English Teachers in Kindergartens and Training Centers,"Guangzhou ESL Center helps foreign teachers to get a satisfied English teaching job. We have many opportunities for foreign teachers who want to work in schools or training centers in China. Jobs offered are optional in big cities, small cities and towns in Guangdong province, China. Other provinces are available as well. Experience is not required as some basic training can be offered. Working environment is comfortable and salary in reasonable! We are eager to work with you!-
-
Job descriptions:-
* Working time: 40 hours, teaching time less than 25 hours per week-
* Kids: aged from 2 to 12 years old-
* English teaching with Chinese assistant.-
* Lesson plans prepared before class.-
-
Requirements:-
* Experience preferred but not required.-
* TEFL level 5 certificate-
* Energetic individuals.-
* Healthy physically and psychologically.-
-
Benefits:-
* Salary: 11000 to 20000RMB per month after tax.-
* Free accommodation or housing allowance 1000RMB/month.-
* Flight allowance after one year contract completion.-
* Free hotel provided during training and free airport pick up.-
* One year contract.-
* Visa assistant.-
* Paid Chinese public holidays.-
-
& Please let me know if you are interested in this position, we are glad to work with you!",20000RMB,"","",China > Guangzhou,Guangzhou ESL center
1025,"EPIK, SMOE and GEPIK Teaching Positions February 2021","What is EPIK?-
-
EPIK stands for English Program in Korea, a program sponsored by the Korean Ministry of Education. The EPIK Program was established in 1995 with the mandate to improve the English speaking abilities of students and teachers in Korea and to develop cultural exchanges.-
-
Through the EPIK Program, over 1,000 teachers are placed in ESL teaching jobs every year. Reach To Teach works with the Korean Ministry of Education to place English Language Instructors (ELIs) in Korean public schools throughout the country.-
-
What is SMOE?-
-
Public school positions with the SMOE (Seoul Metropolitan Office of Education) are some of the most sought after in Korea. Seoul, the capital of South Korea, is a dynamic, modern city with activities of interest for anyone! If you want to experience a large Asian city at it’s busy, energetic best, Seoul is for you. SMOE stands for Seoul Metropolitan Office of Education.-
-
The program was established in 2005 to provide English education to public school students in the Seoul metropolitan area with the eventual aim to place a native English speaker in every school. There are currently hundreds of ESL teachers in Korea teaching for the SMOE Program.-
-
What is GEPIK?-
-
GEPIK stands for Gyeonggi English Program in Korea. It was established in 2003, to provide English education to all public schools in the Gyeonggi province. GEPIK has the highest demand for English education in all of Korea. This program offers teachers a unique experience by allowing them to share their culture and knowledge with students while gaining experience teaching ESL in Public Schools across Korea.",2.0 - 2.7 million KWR,"","",South Korea > Countrywide,Reach To Teach Recruiting
